SpecimenCode,Subfamily,Genus,Species,LifeStageSex,Medium,SpecimenNotes,DNANotes,LocatedAt,OwnedBy,TypeStatus,DeterminedBy,DateDetermined,CollectionCode,CollectedBy,DateCollectedStart,DateCollectedEnd,Method,Habitat,Microhabitat,CollectionNotes,LocalityName,Adm1,Adm2,Country,Elevation,ElevationMaxError,LocLatitude,LocLongitude,LatLonMaxError,BiogeographicRegion,LocalityNotes,LocalityCode
lacm ent 142873,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL26Jul83/stray,J. Longino,26/07/1983,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142874,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL25Jul83/1709,J. Longino,25/07/1983,,,,"Luer house, mangrove-lined bay edge, backed by hammock on shell mound. 1709: sol","NOTEBY J.Longino: Luer house, mangrove-lined bay edge, backed by hammock on shell mound. 1709: solenopsis colony between roots of brazilian pepper stump, yard edge.",Sarasota <5m,Florida,Sarasota Co.,United States,5,,27.333334,-82.53333,unknown,Nearctic,,usfla002
lacm ent 142875,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL12Jun81/1817,J. Longino,12/06/1981,,search,mangrove swamp,,,Fort Pierce,Florida,St. Lucie Co.,United States,5,,27.45,-80.333336,unknown,Nearctic,,usfla010
lacm ent 142876,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL12Jun81/1817,J. Longino,12/06/1981,,search,mangrove swamp,,,Fort Pierce,Florida,St. Lucie Co.,United States,5,,27.45,-80.333336,unknown,Nearctic,,usfla010
lacm ent 142877,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL12Jun81/1730,J. Longino,12/06/1981,,search,,,,Fort Pierce,Florida,St. Lucie Co.,United States,5,,27.45,-80.333336,unknown,Nearctic,,usfla010
lacm ent 142878,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL30May80/1140,J. Longino,30/05/1980,,search,,efn Passiflora incarnata,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142879,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142880,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142881,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
lacm ent 142882,myrmicinae,solenopsis,invicta,Adult worker,dry-mount,,,JTLC,JTLC,,J. Longino,27/09/1999,JTL29May80,J. Longino,29/05/1980,,search,,,,Longino Ranch,Florida,Sarasota Co.,United States,20,,27.15,-82.11667,minutes,Nearctic,,usfla001
